title,genre,year,rating,description,poster_url
The Shawshank Redemption,Drama,1994,9.3,"Two imprisoned men bond over a number of years, finding solace and eventual redemption through acts of common decency.",https://via.placeholder.com/300x400/4AAAA5/FFFFFF?text=Shawshank
The Godfather,Crime Drama,1972,9.2,"The aging patriarch of an organized crime dynasty transfers control of his clandestine empire to his reluctant son.",https://via.placeholder.com/300x400/8B4513/FFFFFF?text=G   odfather
The Dark Knight,Action Crime,2008,9.0,"When the menace known as the Joker wreaks havoc and chaos on the people of Gotham, Batman must accept one of the greatest psychological and physical tests.",https://via.placeholder.com/300x400/2F4F4F/FFFFFF?text=Dark+Knight
Pulp Fiction,Crime Drama,1994,8.9,"The lives of two mob hitmen, a boxer, a gangster and his wife intertwine in four tales of violence and redemption.",https://via.placeholder.com/300x400/800080/FFFFFF?text=Pulp+Fiction
Forrest Gump,Drama Comedy,1994,8.8,"The presidencies of Kennedy and Johnson through the eyes of an Alabama man with an IQ of 75.",https://via.placeholder.com/300x400/228B22/FFFFFF?text=Forrest+Gump
Inception,Sci-Fi Action,2010,8.8,"A thief who steals corporate secrets through dream-sharing technology is given the inverse task of planting an idea.",https://via.placeholder.com/300x400/4169E1/FFFFFF?text=Inception
The Matrix,Sci-Fi Action,1999,8.7,"A hacker discovers that reality as he knows it doesn't exist and finds himself at war with the machines.",https://via.placeholder.com/300x400/DC143C/FFFFFF?text=Matrix
Goodfellas,Crime Drama,1990,8.7,"The story of Henry Hill and his life in the mob, covering his relationship with his wife Karen Hill.",https://via.placeholder.com/300x400/B22222/FFFFFF?text=Goodfellas
Interstellar,Sci-Fi Drama,2014,8.6,"A team of explorers travel through a wormhole in space in an attempt to ensure humanity's survival.",https://via.placeholder.com/300x400/191970/FFFFFF?text=Interstellar
Parasite,Thriller Comedy,2019,8.6,"A poor family schemes to become employed by a wealthy family by infiltrating their household.",https://via.placeholder.com/300x400/556B2F/FFFFFF?text=Parasite
The Lord of the Rings: The Return of the King,Fantasy Adventure,2003,8.9,"Gandalf and Aragorn lead the World of Men against Sauron's army to draw his gaze from Frodo and Sam.",https://via.placeholder.com/300x400/8B0000/FFFFFF?text=LOTR+Return
Schindler's List,Biography Drama,1993,8.9,"In German-occupied Poland during World War II, industrialist Oskar Schindler gradually becomes concerned for his Jewish workforce.",https://via.placeholder.com/300x400/708090/FFFFFF?text=Schindlers+List
12 Angry Men,Drama,1957,8.9,"A jury holdout attempts to prevent a miscarriage of justice by forcing his colleagues to reconsider the evidence.",https://via.placeholder.com/300x400/2F4F4F/FFFFFF?text=12+Angry+Men
The Lord of the Rings: The Fellowship of the Ring,Fantasy Adventure,2001,8.8,"A meek Hobbit from the Shire and eight companions set out on a journey to destroy the powerful One Ring.",https://via.placeholder.com/300x400/228B22/FFFFFF?text=LOTR+Fellowship
Fight Club,Drama Thriller,1999,8.8,"An insomniac office worker and a devil-may-care soapmaker form an underground fight club.",https://via.placeholder.com/300x400/8B008B/FFFFFF?text=Fight+Club
The Lord of the Rings: The Two Towers,Fantasy Adventure,2002,8.7,"While Frodo and Sam edge closer to Mordor with the help of the shifty Gollum, the divided fellowship makes a stand against Sauron.",https://via.placeholder.com/300x400/CD853F/FFFFFF?text=LOTR+Two+Towers
Star Wars: Episode V - The Empire Strikes Back,Sci-Fi Adventure,1980,8.7,"After the Rebels are brutally overpowered by the Empire, Luke Skywalker begins Jedi training with Yoda.",https://via.placeholder.com/300x400/000080/FFFFFF?text=Empire+Strikes
The Silence of the Lambs,Crime Thriller,1991,8.6,"A young FBI cadet must receive the help of an incarcerated and manipulative cannibal killer to help catch another serial killer.",https://via.placeholder.com/300x400/8B0000/FFFFFF?text=Silence+Lambs
Saving Private Ryan,Drama War,1998,8.6,"Following the Normandy Landings, a group of U.S. soldiers go behind enemy lines to retrieve a paratrooper.",https://via.placeholder.com/300x400/696969/FFFFFF?text=Saving+Ryan
City of God,Crime Drama,2002,8.6,"In the slums of Rio, two kids' paths diverge as one struggles to become a photographer and the other a kingpin.",https://via.placeholder.com/300x400/FF4500/FFFFFF?text=City+of+God
Se7en,Crime Thriller,1995,8.6,"Two detectives, a rookie and a veteran, hunt a serial killer who uses the seven deadly sins as his motives.",https://via.placeholder.com/300x400/2F4F4F/FFFFFF?text=Se7en
Life Is Beautiful,Comedy Drama,1997,8.6,"When an open-minded Jewish librarian and his son become victims of the Holocaust, he uses humor to protect his son.",https://via.placeholder.com/300x400/FFD700/FFFFFF?text=Life+Beautiful
Spirited Away,Animation Family,2001,8.6,"During her family's move to the suburbs, a sullen 10-year-old girl wanders into a world ruled by gods and witches.",https://via.placeholder.com/300x400/9370DB/FFFFFF?text=Spirited+Away
The Green Mile,Crime Drama,1999,8.6,"The lives of guards on Death Row are affected by one of their charges: a black man accused of child murder.",https://via.placeholder.com/300x400/228B22/FFFFFF?text=Green+Mile
